DBNs,Funding
19K311,"1,641,562"
30Q078,"1,673,384"
24Q088,"6,759,463"
17K340,"1,508,219"
15K429,"2,901,009"
15K088,"5,519,389"
30Q171,"3,477,236"
27Q106,"2,158,711"
24Q089,"9,183,434"
84Q304,0
23K631,"2,515,586"
02M167,"5,847,160"
26Q221,"3,055,125"
23K634,"1,291,693"
10X206,"2,315,241"
10X205,"5,323,674"
30Q212,"4,175,581"
25Q200,"3,369,253"
25Q201,"3,490,457"
25Q020,"6,975,853"
22K254,"3,046,029"
22K255,"4,219,140"
75Q023,0
31R042,"5,427,296"
18K598,"1,996,679"
22K251,"3,653,495"
08X375,"3,213,122"
22K315,"3,737,533"
01M450,"3,981,706"
13K133,"1,886,922"
02M002,"4,448,589"
02M001,"2,956,032"
18K219,"4,295,323"
84M336,0
21K090,"3,310,531"
30Q286,"2,048,744"
84M330,0
75X723,0
84K626,0
75X721,0
19K409,"2,415,026"
25Q025,"4,590,391"
12X384,"2,254,690"
26Q172,"5,155,139"
08X062,"3,689,392"
10X291,"3,062,281"
10X118,"5,912,624"
05M286,"1,537,542"
23K332,"2,577,171"
14K577,"2,435,526"
09X073,"4,625,407"
09X070,"6,958,317"
31R052,"4,223,549"
22K269,"3,079,071"
32K123,"4,394,291"
14K614,"1,424,298"
12X383,"1,355,500"
05M123,"3,728,181"
84K726,0
05M125,"1,756,053"
23K298,"3,079,766"
04M964,"1,549,419"
10X306,"4,194,646"
23K522,"1,405,012"
04M038,"2,035,921"
15K676,"1,305,863"
06M314,"1,823,975"
06M098,"3,930,707"
06M311,"2,320,567"
84M335,0
84X717,0
27Q226,"7,074,197"
22K555,"3,021,004"
06M319,"3,259,352"
04M037,"1,677,305"
10X360,"2,538,176"
03M087,"4,747,502"
03M084,"2,464,867"
10X363,"1,359,759"
11X041,"4,973,174"
10X368,"5,948,700"
29Q238,"8,184,692"
84K362,0
20K127,"2,930,441"
13K492,"1,931,983"
21K209,"4,189,995"
18K211,"4,388,426"
25Q294,"2,121,589"
06M173,"3,922,104"
84M384,0
17K590,"4,443,337"
12X098,"3,205,338"
84K536,0
14K297,"2,214,750"
84M385,0
09X454,"1,644,154"
12X316,"1,697,181"
75X188,0
25Q165,"3,325,175"
12X092,"3,053,780"
27Q318,"910,412"
05M129,"3,894,731"
09X517,"3,355,457"
09X327,"1,873,929"
27Q123,"3,665,482"
05M154,"2,647,600"
31R072,"8,430,725"
31R075,"6,805,874"
24Q091,"5,000,353"
25Q189,"4,463,220"
24Q093,"6,720,409"
25Q185,"5,609,550"
09X325,"2,840,400"
04M108,"3,724,431"
24Q153,"7,266,689"
20K205,"4,881,137"
19K214,"5,195,742"
12X691,"1,628,680"
11X189,"2,326,219"
06M005,"4,347,779"
06M004,"3,887,852"
14K196,"2,612,604"
27Q319,"1,171,287"
02M289,"1,630,618"
22K152,"4,005,844"
11X181,"3,847,156"
09X328,"1,436,840"
30Q148,"5,396,800"
30Q112,"3,278,661"
21K101,"4,103,603"
21K100,"3,498,880"
15K027,0
02M217,"2,306,409"
28Q040,"3,490,794"
02M212,"1,746,649"
12X271,"3,501,777"
01M839,"2,271,297"
16K309,"2,540,292"
28Q144,"4,214,975"
22K078,"6,586,327"
19K213,"2,665,222"
26Q188,"2,433,136"
12X273,"1,563,935"
19K218,"3,420,632"
01M064,"2,274,168"
20K105,"8,734,093"
09X230,"2,685,754"
84X346,0
84X718,0
26Q046,"3,272,324"
28Q117,"6,095,304"
17K543,"2,649,987"
01M345,"1,729,284"
09X199,"3,712,415"
09X232,"2,640,579"
19K190,"2,147,615"
27Q155,"3,465,216"
13K256,"2,275,156"
27Q225,0
02M124,"4,789,764"
84K742,0
02M260,"1,782,566"
17K091,"4,377,397"
03M208,"1,563,075"
02M042,"4,400,417"
02M041,"3,854,910"
10X086,"9,087,642"
10X081,"4,289,175"
10X080,"4,041,519"
84R073,0
07X369,"1,695,342"
30Q092,"5,043,187"
17K012,"2,086,013"
26Q266,"3,644,564"
16K393,"2,621,274"
27Q223,"4,111,127"
11X111,"4,385,771"
22K217,"6,597,438"
32K376,"3,257,850"
32K377,"4,086,778"
84K710,0
19K364,"2,189,906"
25Q244,"1,579,770"
84M279,0
15K447,"2,773,471"
29Q195,"3,558,393"
29Q059,"4,282,487"
07X031,"3,615,070"
29Q192,"3,905,838"
03M334,"2,487,986"
29Q231,"5,283,748"
30Q002,"3,744,162"
10X015,"3,065,256"
04M182,"2,111,132"
29Q052,"3,023,097"
14K084,"2,929,076"
16K025,"3,137,841"
16K026,"2,053,777"
11X097,"3,868,621"
16K021,"3,404,851"
84M388,0
25Q250,"2,288,781"
25Q154,"3,263,222"
07X030,"2,577,778"
16K028,"2,075,897"
28Q157,"6,424,921"
09X090,0
27Q062,"4,511,424"
17K289,"3,743,775"
13K103,"1,686,169"
23K392,"1,453,004"
17K161,"4,303,153"
23K644,"1,362,923"
08X014,"3,834,012"
02M131,"4,330,556"
17K167,"2,917,328"
08X337,"1,711,529"
27Q309,"2,302,635"
05M410,"920,651"
08X448,"1,391,940"
75X010,0
18K268,"3,104,115"
06M218,"2,754,689"
06M223,"2,355,944"
27Q306,"1,662,225"
01M015,"1,560,936"
14K031,"2,765,274"
26Q074,"5,156,553"
20K164,"2,925,431"
14K034,"2,456,289"
20K102,"5,733,062"
10X244,"3,875,024"
29Q270,"3,777,194"
29Q116,"4,308,577"
10X059,"4,073,417"
06M528,"1,563,804"
19K065,"3,694,854"
27Q317,"1,931,572"
32K116,"3,184,448"
19K149,"3,878,918"
84X394,0
09X413,"3,569,646"
27Q282,"1,425,046"
84X398,0
14K147,"1,917,154"
30Q126,"3,719,722"
25Q029,"3,248,150"
24Q113,"3,976,744"
09X028,"4,086,439"
15K029,"3,271,524"
24Q119,"5,049,394"
12X217,"2,543,208"
25Q022,"4,104,665"
15K024,"4,145,941"
25Q024,"4,615,587"
28Q072,"4,757,688"
12X211,"3,973,172"
24Q058,"5,115,454"
25Q021,"5,485,596"
01M301,"1,426,640"
84K777,0
29Q268,"3,340,874"
10X007,"3,251,357"
84M709,0
02M312,"2,895,088"
06M328,"2,883,166"
18K135,"3,795,722"
06M326,"2,549,906"
06M324,"2,421,049"
06M325,"2,534,985"
06M322,"2,978,927"
01M063,"1,657,882"
06M321,0
27Q053,"3,244,201"
22K139,"4,991,358"
84M284,0
25Q209,"3,253,594"
06M143,"4,376,678"
20K247,"3,547,426"
29Q251,"2,405,266"
22K134,"2,537,225"
21K188,"3,386,717"
20K179,"4,544,899"
12X044,"2,067,079"
09X241,"3,378,146"
17K587,"2,285,136"
20K176,"5,754,270"
84M430,0
20K170,"4,554,333"
84X309,0
20K030,"2,208,068"
12X286,"1,703,095"
27Q056,"2,615,439"
84K508,0
31R016,"5,423,286"
75K004,0
08X069,"3,251,355"
75K368,0
31R031,"3,205,765"
31R008,"2,489,661"
06M132,"4,691,600"
12X341,"1,449,981"
11X083,"9,076,574"
75Q233,0
08X107,"3,104,870"
31R001,"2,825,989"
31R002,"5,168,299"
31R003,"4,193,822"
31R004,"4,459,411"
04M206,"1,624,486"
08X101,"2,573,467"
31R007,"6,143,569"
03M242,"1,475,902"
27Q124,"5,707,652"
18K235,"6,540,682"
10X003,"3,146,835"
07X065,"2,436,705"
75K053,0
31R030,"4,563,673"
15K443,"2,626,894"
15K442,"1,796,031"
24Q877,"2,300,614"
05M200,"3,439,266"
84K358,0
02M158,"3,732,200"
75X186,0
75K369,0
19K328,"3,463,836"
08X152,"4,699,856"
09X132,"4,108,123"
04M096,"2,865,388"
12X318,"2,589,107"
10X056,"3,419,465"
15K124,"1,862,536"
10X054,"2,797,305"
11X175,"2,381,230"
05M367,"2,965,951"
12X134,"3,491,688"
21K329,"2,656,213"
05M362,"1,773,864"
06M210,"2,662,998"
02M422,"1,127,572"
84K593,0
02M255,"2,158,200"
84Q706,0
26Q031,"2,668,498"
84Q704,0
84Q705,0
75X017,0
29Q156,"4,686,591"
22K277,"2,382,897"
84K649,0
84X488,0
26Q213,"2,741,847"
26Q216,"6,011,294"
84M350,0
09X443,"2,672,237"
31R032,"4,314,988"
15K154,"2,379,870"
25Q214,"2,321,925"
22K245,"1,272,485"
22K240,"5,682,312"
15K169,"7,270,632"
84M355,0
02M896,"1,560,550"
31R861,"2,531,979"
18K581,"1,647,459"
08X366,"2,545,949"
23K150,"1,916,135"
84M341,0
03M859,"780,014"
04M102,"2,384,699"
32K291,"3,845,752"
10X280,"4,357,680"
84K652,0
11X178,"3,255,522"
84K651,0
15K032,"1,918,530"
31R005,"1,399,791"
84M478,0
31R006,"4,229,323"
23K323,"3,021,344"
03M245,"1,921,451"
18K285,"4,698,368"
03M247,"1,393,021"
23K327,"3,927,514"
03M241,"1,693,100"
02M089,"2,693,574"
31R011,"1,777,212"
25Q107,"4,724,801"
28Q121,"4,789,094"
17K221,"3,555,850"
25Q184,"2,629,156"
23K178,"3,155,982"
05M092,"2,824,525"
17K382,"3,016,714"
10X308,"1,603,893"
24Q125,"8,145,017"
84K731,0
84K730,0
02M104,"4,861,196"
75X012,0
23K697,"3,029,842"
08X093,"2,755,625"
03M149,"2,381,282"
24Q014,"7,879,672"
24Q016,"7,718,634"
24Q305,"1,886,917"
24Q012,"6,503,681"
15K448,"4,894,068"
27Q333,"2,798,899"
01M020,"3,216,429"
06M366,"1,292,099"
84X705,0
84X704,0
06M368,"1,323,652"
84X706,0
84X703,0
75M138,0
28Q054,"3,190,078"
01M019,"1,801,509"
30Q227,"7,633,317"
28Q050,"4,572,734"
13K067,"1,606,309"
27Q183,"3,374,050"
29Q208,"4,190,225"
28Q196,"3,110,073"
28Q190,"4,567,039"
84X345,0
19K202,"4,329,196"
14K132,"3,475,994"
26Q041,"2,792,077"
21K215,"3,607,409"
05M469,"2,315,525"
21K216,"2,337,406"
19K290,"3,214,614"
84K608,0
19K292,"3,901,149"
32K384,"3,806,343"
27Q097,"3,915,407"
27Q096,"1,914,729"
15K015,"2,410,452"
84K702,0
15K010,"3,857,896"
27Q090,"4,659,928"
32K145,"4,366,272"
17K316,"2,257,153"
09X117,"4,464,906"
23K073,"2,783,586"
09X110,"2,870,069"
12X047,"5,924,510"
21K690,"5,235,494"
24Q081,"5,918,855"
06M008,"3,414,832"
84K780,0
31R049,"5,282,069"
84K782,0
25Q285,"3,135,132"
31R044,"4,763,946"
31R045,"4,885,701"
31R046,"1,890,488"
30Q010,"4,946,316"
31R041,"3,571,757"
13K571,"1,204,443"
11X180,"5,038,642"
15K295,"2,123,576"
75Q177,0
75M169,0
84Q170,0
10X079,0
20K503,"5,416,665"
25Q129,"5,180,616"
01M332,"1,116,171"
28Q055,"4,036,484"
25Q281,"3,121,525"
17K002,"2,451,842"
32K274,"3,239,312"
22K109,"3,555,350"
08X371,"2,153,070"
20K185,"4,090,161"
20K186,"4,368,519"
20K187,"5,328,396"
20K229,"4,414,945"
12X245,"2,230,157"
20K227,"7,606,570"
20K220,"7,552,363"
20K223,"4,472,853"
75K036,0
29Q118,"3,683,628"
28Q139,"4,753,797"
12X372,"2,214,769"
84X378,0
30Q122,"6,652,294"
14K157,"2,530,447"
30Q127,"6,816,312"
75R373,0
25Q120,"4,238,979"
06M293,"2,994,393"
27Q146,"4,818,836"
32K162,"3,588,980"
75M094,0
08X131,"4,715,855"
32K296,"3,316,974"
27Q063,"6,388,927"
27Q060,"5,527,050"
13K336,"1,591,342"
27Q066,"2,834,010"
27Q064,"3,282,878"
27Q065,"2,879,611"
26Q094,"2,091,929"
07X500,"3,381,843"
07X025,"2,109,731"
26Q159,"2,790,944"
30Q166,"5,379,106"
75K811,0
17K006,"3,628,211"
26Q098,"1,375,894"
84M351,0
20K048,"3,195,521"
05M499,"8,005,535"
21K199,"3,440,273"
04M146,"3,336,391"
26Q158,"5,502,154"
29Q015,"2,501,204"
22K203,"4,487,946"
16K385,"1,760,815"
24Q239,"4,266,597"
22K207,"6,175,733"
22K206,"6,370,098"
30Q017,"3,399,930"
22K198,"3,165,781"
12X102,"5,240,833"
19K273,"2,724,469"
30Q011,"6,260,499"
09X204,"2,191,464"
22K193,"4,387,284"
10X246,"4,015,333"
22K195,"1,928,526"
22K194,"2,663,303"
22K197,"3,383,986"
32K045,"4,081,886"
10X009,"3,730,880"
10X008,"6,909,441"
28Q896,"2,523,179"
13K044,"2,133,945"
